,country,food_category,consumption,co2_emmission,Continent
323,India,Red Meat,0.5566666666666666,15.429999999999998,Asia
324,Indonesia,Fish,25.65,40.95,Asia
325,Indonesia,Grains,80.035,88.55999999999999,Asia
326,Indonesia,Milk and Wheat Products,14.82,21.110000000000003,Asia
327,Indonesia,Poultry,6.1899999999999995,6.2700000000000005,Asia
328,Indonesia,Protein Foods,3.02,4.6049999999999995,Asia
329,Indonesia,Red Meat,2.0100000000000002,35.526666666666664,Asia
330,Iran,Fish,9.8,15.65,Asia
331,Iran,Grains,91.63,33.785,Asia
332,Iran,Milk and Wheat Products,46.690000000000005,66.51,Asia
333,Iran,Poultry,16.54,17.165,Asia
334,Iran,Protein Foods,6.08,10.76,Asia
335,Iran,Red Meat,2.4233333333333333,79.89666666666666,Asia
336,Ireland,Fish,17.39,27.77,Europe
337,Ireland,Grains,55.49,12.215,Europe
338,Ireland,Milk and Wheat Products,291.86,415.73,Europe
339,Ireland,Poultry,17.61,18.22,Europe
340,Ireland,Protein Foods,2.175,3.685,Europe
341,Ireland,Red Meat,19.616666666666667,315.97666666666674,Europe
342,Israel,Fish,22.18,35.41,Asia
343,Israel,Grains,63.835,21.325000000000003,Asia
344,Israel,Milk and Wheat Products,193.6,275.76,Asia
345,Israel,Poultry,36.925,38.785,Asia
346,Israel,Protein Foods,3.905,6.8500000000000005,Asia
347,Israel,Red Meat,10.88,320.20666666666665,Asia
348,Italy,Fish,15.6,24.91,Europe
349,Italy,Grains,76.055,17.63,Europe
350,Italy,Milk and Wheat Products,246.88,351.66,Europe
351,Italy,Poultry,15.975000000000001,16.119999999999997,Europe
352,Italy,Protein Foods,3.82,6.755,Europe
353,Italy,Red Meat,19.933333333333334,249.5833333333333,Europe
354,Jamaica,Fish,21.95,35.05,North America
355,Jamaica,Grains,47.059999999999995,21.745,North America
356,Jamaica,Milk and Wheat Products,91.13,129.81,North America
357,Jamaica,Poultry,27.39,29.25,North America
358,Jamaica,Protein Foods,0.91,1.61,North America
359,Jamaica,Red Meat,3.0733333333333337,60.25333333333334,North America
360,Japan,Fish,31.1,49.66,Asia
361,Japan,Grains,52.445,42.59,Asia
362,Japan,Milk and Wheat Products,72.06,102.64,Asia
363,Japan,Poultry,19.285,19.225,Asia
364,Japan,Protein Foods,4.965,3.94,Asia
365,Japan,Red Meat,9.97,120.07666666666667,Asia
366,Jordan,Fish,5.13,8.19,Asia
367,Jordan,Grains,78.20499999999998,25.625,Asia
368,Jordan,Milk and Wheat Products,77.67999999999999,110.65,Asia
369,Jordan,Poultry,18.655,19.735,Asia
370,Jordan,Protein Foods,1.79,3.155,Asia
371,Jordan,Red Meat,3.7699999999999996,124.03000000000002,Asia
372,Kazakhstan,Fish,5.21,8.32,Asia
373,Kazakhstan,Grains,49.815,13.485,Asia
374,Kazakhstan,Milk and Wheat Products,288.12,410.4,Asia
375,Kazakhstan,Poultry,13.334999999999999,13.68,Asia
376,Kazakhstan,Protein Foods,2.585,4.555,Asia
377,Kazakhstan,Red Meat,14.433333333333332,364.3066666666666,Asia
378,Kenya,Fish,4.2700000000000005,6.819999999999999,Africa
379,Kenya,Grains,23.794999999999998,11.584999999999999,Africa
380,Kenya,Milk and Wheat Products,94.86,135.12,Africa
381,Kenya,Poultry,1.155,1.0950000000000002,Africa
382,Kenya,Protein Foods,0.9199999999999999,1.4949999999999999,Africa
383,Kenya,Red Meat,3.896666666666666,120.18333333333332,Africa
384,Kuwait,Fish,11.99,19.14,Asia
385,Kuwait,Grains,70.295,37.27,Asia
386,Kuwait,Milk and Wheat Products,157.66,224.57,Asia
387,Kuwait,Poultry,33.105,34.58,Asia
388,Kuwait,Protein Foods,2.645,4.645,Asia
389,Kuwait,Red Meat,9.546666666666667,316.24666666666667,Asia
390,Latvia,Fish,21.3,34.01,Europe
391,Latvia,Grains,37.169999999999995,8.295,Europe
392,Latvia,Milk and Wheat Products,174.11,248.0,Europe
393,Latvia,Poultry,17.28,17.47,Europe
394,Latvia,Protein Foods,1.91,3.355,Europe
395,Latvia,Red Meat,13.47,97.77666666666669,Europe
396,Liberia,Fish,4.13,6.59,Africa
397,Liberia,Grains,52.85,61.67,Africa
398,Liberia,Milk and Wheat Products,3.04,4.33,Africa
399,Liberia,Poultry,5.48,5.725,Africa
400,Liberia,Protein Foods,0.97,1.2999999999999998,Africa
401,Liberia,Red Meat,1.7566666666666666,18.356666666666666,Africa
402,Lithuania,Fish,42.39,67.67999999999999,Europe
403,Lithuania,Grains,62.33,13.56,Europe
404,Lithuania,Milk and Wheat Products,295.46,420.85,Europe
405,Lithuania,Poultry,19.975,20.435,Europe
406,Lithuania,Protein Foods,1.075,1.89,Europe
407,Lithuania,Red Meat,16.8,102.86666666666667,Europe
408,Luxembourg,Fish,23.09,36.87,Europe
409,Luxembourg,Grains,53.7,12.525,Europe
410,Luxembourg,Milk and Wheat Products,255.3,363.65,Europe
411,Luxembourg,Poultry,18.005000000000003,18.205,Europe
412,Luxembourg,Protein Foods,0.48500000000000004,0.835,Europe
413,Luxembourg,Red Meat,25.043333333333333,378.25333333333333,Europe
414,Macedonia,Fish,5.470000000000001,8.729999999999999,Europe
415,Macedonia,Grains,53.805,11.795,Europe
416,Macedonia,Milk and Wheat Products,157.93,224.96,Europe
417,Macedonia,Poultry,12.575,13.01,Europe
418,Macedonia,Protein Foods,3.165,5.300000000000001,Europe
419,Macedonia,Red Meat,6.326666666666665,102.28333333333335,Europe
420,Madagascar,Fish,4.41,7.04,Africa
421,Madagascar,Grains,55.77,66.46499999999999,Africa
422,Madagascar,Milk and Wheat Products,24.84,35.379999999999995,Africa
423,Madagascar,Poultry,1.925,2.0100000000000002,Africa
424,Madagascar,Protein Foods,0.175,0.31,Africa
425,Madagascar,Red Meat,3.546666666666667,86.92,Africa
426,Malawi,Fish,7.33,11.7,Africa
427,Malawi,Grains,8.26,4.16,Africa
428,Malawi,Milk and Wheat Products,7.98,11.37,Africa
429,Malawi,Poultry,1.23,1.2349999999999999,Africa
430,Malawi,Protein Foods,3.42,4.89,Africa
431,Malawi,Red Meat,3.2900000000000005,54.76666666666667,Africa
432,Malaysia,Fish,49.43,78.92,Asia
433,Malaysia,Grains,66.145,56.855000000000004,Asia
434,Malaysia,Milk and Wheat Products,25.28,36.01,Asia
435,Malaysia,Poultry,28.79,29.634999999999998,Asia
436,Malaysia,Protein Foods,1.47,2.5749999999999997,Asia
437,Malaysia,Red Meat,5.073333333333333,87.19333333333333,Asia
438,Maldives,Fish,179.70999999999998,286.94,Asia
439,Maldives,Grains,64.25,39.875,Asia
440,Maldives,Milk and Wheat Products,111.47,158.78,Asia
